mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
1.169,0.808,4.141,0.767,0.505,0.196,5.609,12.416,0.0
2.161,0.721,2.904,0.625,0.569,0.241,4.338,8.94,0.0
2.184,0.726,2.384,0.614,0.558,0.223,3.778,7.765,0.0
2.705,0.744,2.231,0.556,0.527,0.238,3.552,7.781,0.0
2.64,0.745,2.067,0.555,0.531,0.214,3.367,6.906,0.0
2.674,0.756,2.049,0.541,0.5,0.194,3.284,6.778,0.0
3.32,0.752,2.019,0.484,0.515,0.208,3.226,6.504,0.0
3.28,0.754,1.88,0.497,0.506,0.197,3.08,6.819,0.0
3.359,0.766,1.927,0.47,0.5,0.223,3.12,6.668,0.0
3.525,0.767,1.938,0.479,0.488,0.214,3.119,6.416,0.0
3.474,0.768,1.866,0.47,0.486,0.201,3.023,6.552,0.0
3.699,0.768,1.72,0.442,0.487,0.193,2.841,6.717,0.0
3.983,0.79,1.609,0.452,0.462,0.189,2.712,6.854,0.0
3.784,0.778,1.624,0.424,0.476,0.194,2.718,6.894,0.0
4.183,0.775,1.618,0.43,0.471,0.205,2.725,6.65,0.0
4.092,0.768,1.551,0.42,0.475,0.186,2.633,6.587,0.0
4.161,0.788,1.492,0.404,0.457,0.189,2.542,6.829,0.0
4.346,0.787,1.458,0.409,0.451,0.187,2.505,7.5,0.0
3.903,0.79,1.372,0.393,0.452,0.188,2.405,8.155,0.0
4.319,0.798,1.486,0.404,0.435,0.187,2.513,9.232,0.0
4.356,0.784,1.442,0.405,0.453,0.182,2.482,9.799,0.0
4.112,0.797,1.365,0.388,0.449,0.171,2.373,10.02,0.0
4.698,0.788,1.326,0.392,0.453,0.18,2.351,11.437,0.0
3.992,0.793,1.346,0.386,0.439,0.174,2.345,10.836,0.0
4.265,0.809,1.446,0.381,0.423,0.187,2.436,10.945,0.0
4.322,0.807,1.375,0.38,0.431,0.182,2.368,10.859,0.0
4.349,0.792,1.352,0.369,0.435,0.161,2.318,10.482,0.0
4.674,0.799,1.324,0.362,0.432,0.169,2.287,10.704,0.0
4.112,0.812,1.275,0.37,0.418,0.164,2.227,10.968,0.0
4.34,0.804,1.378,0.362,0.421,0.155,2.317,11.156,0.0
4.819,0.813,1.282,0.345,0.423,0.172,2.222,9.103,0.0
4.218,0.814,1.197,0.351,0.403,0.159,2.11,8.285,0.0
4.413,0.816,1.262,0.368,0.402,0.163,2.195,8.023,0.0
4.302,0.807,1.308,0.369,0.431,0.161,2.269,7.648,0.0
4.391,0.822,1.233,0.348,0.403,0.157,2.142,7.157,0.0
4.78,0.816,1.207,0.339,0.407,0.149,2.103,7.158,0.0
4.406,0.839,1.234,0.341,0.381,0.158,2.114,7.277,0.0
4.485,0.819,1.26,0.339,0.396,0.162,2.158,7.365,0.0
4.542,0.82,1.287,0.357,0.409,0.156,2.208,7.203,0.0
4.379,0.828,1.268,0.338,0.385,0.148,2.139,7.172,0.0
