image_id,image_dir,x1,y1,x2,y2,class
img000033_13,apc,189,259,209,269,0
img000013_13,apc,299,792,472,856,0
img000013_13,apc,722,314,789,481,0
img000007_13,apc,127,333,192,358,0
img000008_13,apc,119,143,168,161,0
img000037_13,apc,309,199,358,218,0
img000014_13,apc,100,67,134,81,0
img000010_13,apc,212,247,270,263,0
img000034_13,apc,132,499,190,519,0
img000002_13,apc,98,274,161,295,0
img000028_13,apc,299,55,374,79,0
img000026_13,apc,122,331,190,357,0
img000004_13,apc,98,188,148,209,0
img000016_13,apc,200,415,240,430,0
img000022_13,apc,210,237,288,262,0
img000015_13,apc,153,392,218,414,0
img000015_13,apc,372,184,392,219,0
img000043_13,apc,315,219,348,232,0
img000069_16,aral,417,342,438,357,0
img000069_16,aral,392,448,406,468,0
img000008_16,aral,4,506,55,558,0
img000008_16,aral,596,546,613,578,0
img000008_16,aral,786,593,802,615,0
img000008_16,aral,402,576,415,599,0
img000008_16,aral,1017,34,1152,208,0
img000008_16,aral,1221,598,1246,634,0
img000061_16,aral,240,25,304,96,0
img000061_16,aral,659,174,675,211,0
img000057_16,aral,831,624,972,865,0
img000057_16,aral,1043,841,1123,952,0
img000057_16,aral,114,735,162,775,0
img000057_16,aral,70,655,101,751,0
img000037_16,aral,164,5,202,39,0
img000112_16,aral,107,203,170,274,0
img000112_16,aral,261,153,290,200,0
img000112_16,aral,23,11,56,42,0
img000047_16,aral,507,1131,605,1278,0
img000047_16,aral,1455,1006,1524,1088,0
img000101_16,aral,321,800,590,1144,0
img000033_16,aral,56,243,781,1079,0
img000096_16,aral,37,170,68,203,0
img000096_16,aral,63,129,76,145,0
img000152_16,aral,111,864,292,1072,0
img000141_16,aral,1042,271,1080,329,0
img000141_16,aral,951,675,996,701,0
img000141_16,aral,1446,749,1551,891,0
img000141_16,aral,1624,787,1712,934,0
img000141_16,aral,1304,737,1351,863,0
img000141_16,aral,1231,842,1263,897,0
img000084_16,aral,24,6,71,63,0
img000084_16,aral,378,103,393,114,0
img000015_16,aral,105,2,146,18,0
img000109_16,aral,166,387,286,493,0
img000103_16,aral,381,455,577,685,0
img000098_16,aral,246,134,300,200,0
img000098_16,aral,244,29,271,44,0
img000024_16,aral,13,12,65,68,0
img000024_16,aral,15,168,30,177,0
img000024_16,aral,87,169,109,177,0
img000024_16,aral,68,65,82,76,0
img000024_16,aral,219,17,262,26,0
img000094_16,aral,449,827,784,1161,0
img000104_16,aral,216,118,503,208,0
img000104_16,aral,260,792,679,1135,0
img000089_16,aral,268,133,315,152,0
img000089_16,aral,239,391,396,541,0
img000097_16,aral,216,104,289,182,0
img000106_16,aral,83,191,118,223,0
img000031_16,aral,980,109,1125,282,0
img000031_16,aral,920,401,971,440,0
